epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5225,1.98962,6.97091,3.72188,2.01988,0.00474,0.71412,0.05057,0.02774,0.00474,0.71412,0.05303,0.02771,1.22847,2.07092,3.89048,1.53943,9.09e-06,9.09e-06,9.09e-06
2,34.9082,1.98007,6.79383,3.61379,2.0278,0.00423,0.69626,0.04419,0.03131,0.00423,0.69626,0.0485,0.03132,1.20693,2.04287,3.88094,1.5348,2.67301e-05,2.67301e-05,2.67301e-05
3,51.6381,2.05323,6.29863,3.67136,2.04002,0.00398,0.72602,0.04728,0.03605,0.00422,0.75459,0.04637,0.03571,1.16411,1.56954,3.86809,1.53228,4.36502e-05,4.36502e-05,4.36502e-05
4,67.7005,1.51191,4.76427,3.60512,1.69834,0.00653,0.74983,0.03766,0.0237,0.00653,0.74983,0.03779,0.02361,1.16668,1.1183,3.872,1.52129,5.98504e-05,5.98504e-05,5.98504e-05
5,84.9048,1.48353,4.0488,3.57224,1.67354,0.00542,0.79626,0.02986,0.01726,0.00656,0.82007,0.03051,0.01707,1.10535,0.7621,3.8845,1.46814,7.53306e-05,7.53306e-05,7.53306e-05
6,101.334,1.47624,3.43843,3.52205,1.69221,0.00611,0.88554,0.05746,0.02459,0.00611,0.88554,0.06576,0.02382,1.12205,0.6199,3.91015,1.43775,9.0091e-05,9.0091e-05,9.0091e-05
7,117.946,1.42039,2.70237,3.51107,1.58311,0.00598,0.92381,0.13231,0.05136,0.00598,0.92381,0.13231,0.04953,1.16034,0.52237,3.93534,1.43464,0.000104131,0.000104131,0.000104131
8,134.399,1.27371,2.01755,3.43045,1.5136,0.00518,0.85833,0.15074,0.06397,0.00518,0.85833,0.15074,0.06243,1.31506,0.42746,3.96163,1.47399,0.000117452,0.000117452,0.000117452
9,150.628,1.20628,2.0061,3.40895,1.48981,0.00536,0.90595,0.1786,0.07544,0.00536,0.90595,0.17867,0.07403,1.41981,0.41175,3.96909,1.54569,0.000130052,0.000130052,0.000130052
10,167.172,1.213,1.82374,3.40072,1.50303,0.00547,0.90595,0.17051,0.07566,0.00547,0.90595,0.17051,0.07379,1.47781,0.4047,3.96718,1.59628,0.000141933,0.000141933,0.000141933
