epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1634,1.96239,3.80223,2.0258,0.00568,0.7881,0.05,0.02945,1.51977,4.04258,1.92312,2.727e-05,2.727e-05,2.727e-05
2,20.1332,1.68677,3.61436,1.80649,0.00697,0.83197,0.06622,0.03016,1.58778,4.08441,1.84162,6.30001e-05,6.30001e-05,6.30001e-05
3,29.61,1.57563,3.62909,1.74611,0.00837,0.97143,0.14496,0.0728,1.59787,4.10176,1.80337,9.80102e-05,9.80102e-05,9.80102e-05
4,39.0192,1.41014,3.54962,1.61443,0.00857,0.97143,0.13994,0.06167,1.54093,4.05563,1.76958,0.0001323,0.0001323,0.0001323
5,48.2214,1.16907,3.47897,1.48197,0.00862,1,0.1191,0.06004,1.54567,4.03761,1.7214,0.000165871,0.000165871,0.000165871
6,57.86,1.15258,3.41146,1.43681,0.00818,1,0.11237,0.06871,1.39089,4.02338,1.65508,0.000198721,0.000198721,0.000198721
7,67.4412,1.03011,3.3768,1.33611,0.00757,1,0.13908,0.08178,1.58464,4.21016,1.7929,0.000230851,0.000230851,0.000230851
8,77.2746,1.08475,3.36738,1.38742,0.0067,0.9,0.13051,0.07371,1.70924,4.05384,1.91373,0.000262262,0.000262262,0.000262262
9,86.7816,1.00216,3.30415,1.35167,0.00636,0.9,0.1617,0.07006,1.2961,3.93736,1.52244,0.000292953,0.000292953,0.000292953
10,96.5401,0.97042,3.27505,1.34601,0.00648,0.92857,0.13923,0.07058,1.14626,3.84699,1.45378,0.000322923,0.000322923,0.000322923
11,105.773,1.04082,3.22658,1.36796,0.00584,0.87143,0.13999,0.08398,1.31441,3.8694,1.57179,0.000352174,0.000352174,0.000352174
12,115.668,1.09392,3.15662,1.43283,0.00555,0.84286,0.11973,0.06193,1.46489,3.94098,1.84801,0.000380705,0.000380705,0.000380705
13,125.791,0.95209,3.0404,1.30411,0.00436,0.63656,0.07676,0.03633,1.88601,4.03554,2.34419,0.000408516,0.000408516,0.000408516
14,135.159,0.90792,3.0098,1.26794,0.00481,0.7284,0.05798,0.03096,1.89561,4.00922,2.46535,0.000435606,0.000435606,0.000435606
15,144.953,1.01075,2.97891,1.27303,0.00491,0.75442,0.05984,0.02428,1.90245,3.99837,2.39235,0.000461977,0.000461977,0.000461977
16,154.704,1.0519,2.98323,1.32947,0.00491,0.75442,0.05984,0.02428,1.90245,3.99837,2.39235,0.000487629,0.000487629,0.000487629
17,164.581,0.96619,2.89618,1.30203,0.00588,0.89524,0.0616,0.02411,2.03435,4.08373,2.42315,0.00051256,0.00051256,0.00051256
18,174.084,0.9233,2.88496,1.29214,0.73775,0.1,0.08121,0.04636,1.73269,3.89205,1.93825,0.000536771,0.000536771,0.000536771
19,184.032,0.8334,2.75753,1.22096,0.73775,0.1,0.08121,0.04636,1.73269,3.89205,1.93825,0.000560262,0.000560262,0.000560262
20,194.155,1.18065,2.89004,1.52361,0.51129,0.18224,0.12718,0.05827,1.61299,3.68148,1.92514,0.000583034,0.000583034,0.000583034
21,203.602,1.07205,2.85531,1.36734,0.73754,0.16939,0.14907,0.08285,1.68816,3.64182,1.91275,0.000605085,0.000605085,0.000605085
